ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        79193.41          ---          ---        25.24552        16.31900       142.33500       176.12700     11339.76 
Gets            0.00         0.00         0.00             ---             ---             ---             ---         0.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      79193.41         0.00         0.00        25.24552        16.31900       142.33500       176.12700     11339.76 
Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.031        0.000
SET      11.007        5.000
SET      12.031       10.000
SET      12.607       15.000
SET      13.119       20.000
SET      13.631       25.000
SET      14.143       30.000
SET      14.719       35.000
SET      15.295       40.000
SET      15.807       45.000
SET      16.319       50.000
SET      16.639       52.500
SET      16.895       55.000
SET      17.151       57.500
SET      17.407       60.000
SET      17.791       62.500
SET      18.047       65.000
SET      18.431       67.500
SET      18.943       70.000
SET      19.455       72.500
SET      20.095       75.000
SET      20.479       76.250
SET      20.863       77.500
SET      21.247       78.750
SET      21.631       80.000
SET      22.143       81.250
SET      22.655       82.500
SET      23.295       83.750
SET      24.191       85.000
SET      25.215       86.250
SET      26.623       87.500
SET      27.391       88.125
SET      28.415       88.750
SET      30.079       89.375
SET      32.383       90.000
SET      36.095       90.625
SET      46.847       91.250
SET      97.279       91.875
SET     100.863       92.500
SET     103.423       93.125
SET     105.983       93.750
SET     106.495       94.062
SET     107.519       94.375
SET     108.543       94.688
SET     109.567       95.000
SET     110.079       95.312
SET     111.103       95.625
SET     112.127       95.938
SET     112.639       96.250
SET     113.663       96.562
SET     114.687       96.875
SET     115.711       97.031
SET     116.223       97.188
SET     116.735       97.344
SET     117.247       97.500
SET     118.271       97.656
SET     119.295       97.812
SET     120.319       97.969
SET     121.343       98.125
SET     122.879       98.281
SET     124.927       98.438
SET     126.463       98.516
SET     129.023       98.594
SET     133.119       98.672
SET     136.191       98.750
SET     138.239       98.828
SET     140.287       98.906
SET     142.335       98.984
SET     143.359       99.062
SET     144.383       99.141
SET     145.407       99.219
SET     146.431       99.258
SET     147.455       99.297
SET     147.455       99.336
SET     148.479       99.375
SET     149.503       99.414
SET     149.503       99.453
SET     150.527       99.492
SET     151.551       99.531
SET     152.575       99.570
SET     153.599       99.609
SET     154.623       99.629
SET     155.647       99.648
SET     156.671       99.668
SET     157.695       99.688
SET     158.719       99.707
SET     159.743       99.727
SET     160.767       99.746
SET     161.791       99.766
SET     163.839       99.785
SET     165.887       99.805
SET     165.887       99.814
SET     166.911       99.824
SET     167.935       99.834
SET     168.959       99.844
SET     169.983       99.854
SET     171.007       99.863
SET     173.055       99.873
SET     174.079       99.883
SET     175.103       99.893
SET     176.127       99.902
SET     177.151       99.907
SET     178.175       99.912
SET     179.199       99.917
SET     180.223       99.922
SET     181.247       99.927
SET     182.271       99.932
SET     184.319       99.937
SET     187.391       99.941
SET     189.439       99.946
SET     192.511       99.951
SET     194.559       99.954
SET     196.607       99.956
SET     197.631       99.958
SET     199.679       99.961
SET     200.703       99.963
SET     201.727       99.966
SET     203.775       99.968
SET     208.895       99.971
SET     212.991       99.973
SET     215.039       99.976
SET     216.063       99.977
SET     221.183       99.978
SET     223.231       99.979
SET     224.255       99.980
SET     226.303       99.982
SET     229.375       99.983
SET     236.543       99.984
SET     236.543       99.985
SET     240.639       99.987
SET     241.663       99.988
SET     241.663       99.988
SET     243.711       99.989
SET     247.807       99.990
SET     255.999       99.990
SET     325.631       99.991
SET     327.679       99.991
SET     335.871       99.992
SET     337.919       99.993
SET     370.687       99.993
SET     393.215       99.994
SET     399.359       99.994
SET     399.359       99.995
SET     409.599       99.995
SET     409.599       99.995
SET     409.599       99.995
SET     411.647       99.996
SET     411.647       99.996
SET     411.647       99.996
SET     411.647       99.997
SET     411.647       99.997
SET     411.647       99.997
SET     411.647       99.997
SET     411.647       99.997
SET     411.647       99.998
SET     411.647       99.998
SET     413.695       99.998
SET     432.127       99.998
SET     432.127       99.998
SET     432.127       99.998
SET     432.127       99.998
SET     434.175       99.999
SET     434.175       99.999
SET     434.175       99.999
SET     434.175       99.999
SET     440.319       99.999
SET     442.367       99.999
SET     442.367       99.999
SET     454.655       99.999
SET     454.655       99.999
SET     456.703       99.999
SET     456.703       99.999
SET     456.703       99.999
SET     456.703       99.999
SET     456.703       99.999
SET     456.703       99.999
SET     456.703       99.999
SET     456.703      100.000
SET     458.751      100.000
SET     458.751      100.000
SET     458.751      100.000
SET     458.751      100.000
SET     458.751      100.000
SET     458.751      100.000
SET     458.751      100.000
SET     460.799      100.000
SET     565.247      100.000
SET     565.247      100.000
---
GET       0.000      100.000
---
WAIT      0.000      100.000
